date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,DEWP,wd,WSPM,station
2013-03-01 00:00:00,4.0,4.0,3.0,2.0,200.0,82.0,-2.3,-19.7,4.0,0.5,Dingling
2013-03-01 01:00:00,7.0,7.0,3.0,2.0,200.0,80.0,-2.5,-19.0,3.0,0.7,Dingling
2013-03-01 02:00:00,5.0,5.0,3.0,2.0,200.0,79.0,-3.0,-19.9,3.0,0.2,Dingling
2013-03-01 03:00:00,6.0,6.0,3.0,2.6666666666666665,200.0,79.0,-3.6,-19.1,1.0,1.0,Dingling
2013-03-01 04:00:00,5.0,5.0,3.0,3.333333333333333,200.0,81.0,-3.5,-19.4,0.0,2.1,Dingling
2013-03-01 05:00:00,6.0,6.0,3.0,4.0,200.0,79.0,-4.5,-19.5,15.0,1.7,Dingling
2013-03-01 06:00:00,5.0,10.0,3.0,4.0,200.0,77.0,-4.5,-19.5,15.0,1.8,Dingling
2013-03-01 07:00:00,5.0,6.0,3.0,2.0,200.0,80.0,-2.1,-20.0,14.0,2.5,Dingling
2013-03-01 08:00:00,8.0,7.0,3.0,3.0,200.0,79.0,-0.2,-20.5,15.0,2.8,Dingling
2013-03-01 09:00:00,8.0,8.0,3.0,2.0,200.0,81.0,0.6,-20.4,15.0,3.8,Dingling
2013-03-01 10:00:00,8.0,5.0,3.0,2.0,200.0,83.0,2.0,-21.3,0.0,2.2,Dingling
2013-03-01 11:00:00,3.0,2.0,3.0,2.0,200.0,83.0,3.6,-20.7,1.0,2.7,Dingling
2013-03-01 12:00:00,6.0,4.5,3.0,2.0,200.0,85.0,4.8,-19.7,0.0,3.0,Dingling
2013-03-01 13:00:00,7.0,7.0,3.0,2.0,200.0,84.0,5.8,-20.6,2.0,4.4,Dingling
2013-03-01 14:00:00,6.0,7.0,3.0,2.0,200.0,89.0,5.9,-20.5,0.0,3.6,Dingling
2013-03-01 15:00:00,10.0,10.0,3.0,2.0,200.0,88.0,6.0,-20.4,0.0,3.2,Dingling
2013-03-01 16:00:00,3.0,6.0,3.0,2.0,200.0,87.0,5.4,-20.0,2.0,2.2,Dingling
2013-03-01 17:00:00,5.0,5.0,3.0,2.0,200.0,87.0,3.5,-20.8,3.0,2.0,Dingling
2013-03-01 18:00:00,5.0,6.0,3.0,2.0,200.0,85.0,2.7,-20.0,2.0,3.6,Dingling
2013-03-01 19:00:00,14.0,6.0,3.0,2.0,200.0,83.0,2.0,-19.3,3.0,1.7,Dingling
2013-03-01 20:00:00,6.0,7.0,3.0,2.0,200.0,83.0,1.1,-18.3,2.0,1.7,Dingling
2013-03-01 21:00:00,9.0,7.0,3.0,2.0,200.0,82.0,1.6,-17.4,4.0,2.3,Dingling
2013-03-01 22:00:00,6.0,5.0,3.0,2.0,200.0,79.0,0.4,-17.4,4.0,0.0,Dingling
2013-03-01 23:00:00,6.0,9.0,3.0,2.0,300.0,72.0,0.3,-16.6,2.0,1.5,Dingling
2013-03-02 00:00:00,4.0,7.0,3.0,2.0,200.0,74.0,-0.5,-16.4,10.0,3.0,Dingling
2013-03-02 01:00:00,6.0,6.0,3.0,2.0,200.0,75.0,-1.8,-16.7,9.0,0.9,Dingling
2013-03-02 02:00:00,7.0,2.0,13.0,39.0,800.0,36.0,-1.7,-17.4,9.0,1.5,Dingling
2013-03-02 03:00:00,28.0,47.0,21.0,71.0,1200.0,6.0,-2.5,-17.4,10.0,1.7,Dingling
2013-03-02 04:00:00,31.0,65.0,25.0,71.0,1200.0,5.0,-3.4,-17.0,14.0,0.8,Dingling
2013-03-02 05:00:00,39.0,55.0,22.0,70.0,1200.0,2.0,-3.5,-16.8,0.0,0.5,Dingling
2013-03-02 06:00:00,41.0,45.0,16.0,65.0,1000.0,4.0,-3.5,-15.8,1.0,0.9,Dingling
2013-03-02 07:00:00,52.0,32.0,13.0,56.0,800.0,8.0,-3.3,-14.4,15.0,0.9,Dingling
2013-03-02 08:00:00,36.0,18.0,16.0,52.0,900.0,12.0,-2.0,-15.1,1.0,1.0,Dingling
